,nonSupportChamp,winRate,95% CI,numWins,numGames,baseWinRate,base 95% CI,baseNumWins,baseNumGames
47,Kayle,0.5018313097142457,"[0.498925, 0.504720]",57409,114399,0.5388535281842624,"[0.536351, 0.541352]",82374,152869
53,Kog'Maw,0.5018313097142457,"[0.498925, 0.504720]",57409,114399,0.5388535281842624,"[0.536351, 0.541352]",82374,152869
65,Mordekaiser,0.5018313097142457,"[0.498925, 0.504720]",57409,114399,0.5388535281842624,"[0.536351, 0.541352]",82374,152869
71,Olaf,0.5018313097142457,"[0.498925, 0.504720]",57409,114399,0.5388535281842624,"[0.536351, 0.541352]",82374,152869
41,Jinx,0.5018313097142457,"[0.498925, 0.504720]",57409,114399,0.5388535281842624,"[0.536351, 0.541352]",82374,152869
59,Malphite,0.5018313097142457,"[0.498925, 0.504720]",57409,114399,0.5388535281842624,"[0.536351, 0.541352]",82374,152869
32,Graves,0.5000919270536942,"[0.497190, 0.502994]",57121,114221,0.5171754564922212,"[0.514629, 0.519722]",76558,148031
20,Ekko,0.5000919270536942,"[0.497190, 0.502994]",57121,114221,0.5171754564922212,"[0.514629, 0.519722]",76558,148031
26,Fizz,0.5000919270536942,"[0.497190, 0.502994]",57121,114221,0.5171754564922212,"[0.514629, 0.519722]",76558,148031
110,Vel'Koz,0.49880207525380493,"[0.495924, 0.501681]",57878,116034,0.5281600574892921,"[0.525822, 0.530498]",92606,175337
122,Zac,0.49880207525380493,"[0.495924, 0.501681]",57878,116034,0.5281600574892921,"[0.525822, 0.530498]",92606,175337
116,Xayah,0.49880207525380493,"[0.495924, 0.501681]",57878,116034,0.5281600574892921,"[0.525822, 0.530498]",92606,175337
22,Evelynn,0.49809630665097115,"[0.495121, 0.501071]",54161,108736,0.5406244805473173,"[0.537733, 0.543516]",61795,114303
16,Darius,0.49809630665097115,"[0.495121, 0.501071]",54161,108736,0.5406244805473173,"[0.537733, 0.543516]",61795,114303
28,Gangplank,0.49809630665097115,"[0.495121, 0.501071]",54161,108736,0.5406244805473173,"[0.537733, 0.543516]",61795,114303
4,Anivia,0.49809630665097115,"[0.495121, 0.501071]",54161,108736,0.5406244805473173,"[0.537733, 0.543516]",61795,114303
34,Heimerdinger,0.49809630665097115,"[0.495121, 0.501071]",54161,108736,0.5406244805473173,"[0.537733, 0.543516]",61795,114303
10,Brand,0.49809630665097115,"[0.495121, 0.501071]",54161,108736,0.5406244805473173,"[0.537733, 0.543516]",61795,114303
42,Kai'Sa,0.49696833805132806,"[0.493969, 0.499967]",53194,107037,0.5277771661345371,"[0.524529, 0.531025]",47938,90830
