iter	BrierScore	Logloss
0	0.2485642171	0.6902741231
1	0.2472449734	0.6876244717
2	0.2458916348	0.6849092521
3	0.2446651665	0.6824532757
4	0.2435088916	0.6801102594
5	0.2424352414	0.6779494067
6	0.2413941154	0.6758537182
7	0.2403184294	0.6736693714
8	0.2393305788	0.6716846909
9	0.2384546792	0.6698740958
10	0.2375815952	0.6680957461
11	0.2367443289	0.6663878788
12	0.2359206017	0.6647261919
13	0.2350559926	0.6629666241
14	0.2341678585	0.6611562309
15	0.2332981777	0.6593480592
16	0.23243246	0.6575914534
17	0.2315946516	0.6558735556
18	0.2308532454	0.6543273197
19	0.2301466323	0.6528531145
20	0.2294327574	0.6513242468
21	0.2286926012	0.6497861564
22	0.2280131188	0.6483876844
23	0.2272720173	0.6468388904
24	0.2264567416	0.6451627301
25	0.225846804	0.6439000392
26	0.2251710706	0.642448453
27	0.2244423506	0.6408788576
28	0.2237801991	0.6394892716
29	0.2230454074	0.6379497676
30	0.222414669	0.6365574888
31	0.2218020387	0.6352441072
32	0.2211927804	0.6339309949
33	0.2199476133	0.6312879406
34	0.2194398839	0.6302051245
35	0.2188856022	0.628970842
36	0.2182778686	0.6276126937
37	0.2176734227	0.6263067171
38	0.2171633958	0.6251775186
39	0.2166516929	0.624063534
40	0.216137268	0.6228822311
41	0.2156117909	0.6217098142
42	0.2151650834	0.6207369962
43	0.2146050042	0.6195035889
44	0.2140535453	0.6182965703
45	0.2135917899	0.6172289008
46	0.2131496108	0.6162387821
47	0.2126973209	0.615169295
48	0.21181448	0.6131477913
49	0.211361133	0.6121017983
50	0.2108752981	0.6110072688
51	0.2104997571	0.6101688857
52	0.2101422301	0.6093665852
53	0.2097505836	0.6084289748
54	0.209410448	0.6076713737
55	0.2086733169	0.6059381274
56	0.2082989356	0.605071134
57	0.2076739234	0.6036691614
58	0.2069520221	0.6019121517
59	0.2065636986	0.6009834273
60	0.206145415	0.6000070415
61	0.2058078569	0.5991705433
62	0.2052034287	0.5977628487
63	0.2046052108	0.5963865244
64	0.204316943	0.5957128693
65	0.2037119434	0.5942170549
66	0.2035341654	0.5938453901
67	0.2028383754	0.5921537466
68	0.2024704302	0.5912764534
69	0.2021190388	0.5904265589
70	0.2019537959	0.5900790614
71	0.201426607	0.5887814323
72	0.2011394318	0.5880757337
73	0.2009778617	0.5877363818
74	0.2004528414	0.586408594
75	0.1999210361	0.5850441851
76	0.1997675029	0.5847197778
77	0.1996181494	0.5844044585
78	0.1990294589	0.582922781
79	0.198558517	0.5817788397
80	0.1984196303	0.5814841872
81	0.1982781961	0.5811833413
82	0.1978132688	0.5800402752
83	0.1972986482	0.5787248741
84	0.1971587251	0.5784264517
85	0.1970060445	0.5781001595
86	0.1967710363	0.5775313192
87	0.1964822726	0.5768042807
88	0.1960758196	0.5757947743
89	0.1956326376	0.574637504
90	0.1951940725	0.5734761946
91	0.1947534061	0.5723039123
92	0.1946237538	0.5720251469
93	0.1944883939	0.5717329851
94	0.1940737532	0.5706685469
95	0.1936910376	0.5697028647
96	0.1935498518	0.5693976432
97	0.1933362198	0.5688599713
98	0.1931148146	0.5682772634
99	0.1929872869	0.5680019985
100	0.1925944669	0.5669324441
101	0.1924106084	0.5664661297
102	0.1920050902	0.5653434611
103	0.1911959667	0.5632275771
104	0.1902814588	0.5608091979
105	0.1894240603	0.5586156958
106	0.1885524051	0.5562681692
107	0.1877783242	0.554184901
108	0.1870030142	0.5520355261
109	0.1862938214	0.5500737002
110	0.1856771997	0.5484249047
