iter	Passed	Remaining
0	63	761945
1	120	723823
2	174	699289
3	228	685933
4	280	673398
5	338	676880
6	388	666146
7	435	653234
8	486	647779
9	535	642128
10	587	639858
11	639	639092
12	691	637736
13	748	641185
14	801	640206
15	848	635700
16	898	633558
17	945	629419
18	993	626364
19	1037	621698
20	1082	617427
21	1125	612808
22	1168	608372
23	1215	606292
24	1268	607783
25	1320	608062
26	1366	605840
27	1414	604638
28	1461	603094
29	1507	601529
30	1555	600568
31	1602	599344
32	1644	596513
33	1687	593874
34	1738	594219
35	1790	594966
36	1839	594695
37	1887	594157
38	1934	593220
39	1983	593079
40	2032	592935
41	2075	590798
42	2131	592817
43	2186	594096
44	2235	593875
45	2284	593641
46	2331	593057
47	2386	594128
48	2435	593920
49	2481	593191
50	2529	592647
51	2580	592857
52	2630	592911
53	2677	592295
54	2725	591886
55	2768	590447
56	2810	588905
57	2855	587980
58	2901	587301
59	2948	586786
60	2996	586482
61	3049	587189
62	3094	586358
63	3143	586171
64	3194	586580
65	3242	586217
66	3290	586034
67	3335	585295
68	3387	585744
69	3436	585745
70	3484	585384
71	3531	585043
72	3577	584585
73	3625	584217
74	3666	582984
75	3713	582579
76	3760	582251
77	3803	581376
78	3850	581065
79	3896	580637
80	3940	579810
81	3986	579432
82	4029	578569
83	4071	577642
84	4117	577171
85	4173	578192
86	4229	579121
87	4278	579161
88	4332	579825
89	4381	579850
90	4431	579990
91	4480	579912
92	4531	580120
93	4586	580862
94	4632	580524
95	4681	580458
96	4735	581136
97	4788	581509
98	4837	581555
99	4893	582346
100	4938	581872
101	4990	582083
102	5038	581918
103	5083	581475
104	5128	580965
105	5175	580701
106	5223	580550
107	5270	580352
108	5316	579975
109	5362	579627
110	5413	579834
111	5462	579818
112	5506	579228
113	5551	578768
114	5598	578568
115	5645	578417
116	5693	578228
117	5740	578071
118	5787	577839
119	5837	577870
120	5881	577391
121	5946	578919
122	5991	578524
123	6038	578370
124	6087	578273
125	6134	578070
126	6185	578271
127	6233	578149
128	6279	577896
129	6330	578000
130	6379	577991
131	6429	578037
132	6476	577912
133	6527	577981
134	6576	578001
135	6623	577763
136	6669	577556
137	6720	577699
138	6767	577502
139	6813	577200
140	6863	577292
141	6921	577998
142	6971	578020
143	7019	577936
144	7109	581277
145	7159	581285
146	7206	581044
147	7253	580838
148	7302	580798
149	7352	580883
150	7405	581099
151	7455	581099
152	7501	580831
153	7546	580455
154	7594	580364
155	7643	580343
156	7690	580132
157	7738	579969
158	7790	580169
159	7838	580029
160	7887	580035
161	7935	579852
162	7984	579817
163	8029	579494
164	8076	579272
165	8123	579146
166	8169	578883
167	8217	578735
168	8263	578509
169	8311	578403
170	8358	578189
171	8409	578275
172	8454	577984
173	8504	577995
174	8553	577999
175	8603	578031
176	8650	577814
177	8695	577531
178	8742	577373
179	8791	577290
180	8837	577088
181	8888	577149
182	8930	576690
183	8977	576481
184	9025	576424
185	9070	576115
186	9121	576212
187	9167	575967
188	9214	575857
189	9260	575605
190	9304	575253
191	9351	575145
192	9398	574974
193	9446	574846
194	9496	574922
195	9542	574666
196	9584	574272
197	9632	574142
198	9680	574043
199	9727	573935
200	9776	573904
201	9826	573917
202	9871	573683
203	9921	573718
204	9968	573557
205	10014	573378
206	10061	573235
207	10110	573214
208	10155	572947
209	10206	573000
210	10251	572773
211	10303	572915
212	10351	572844
213	10408	573227
214	10457	573205
215	10501	572923
216	10544	572561
217	10589	572333
218	10636	572183
219	10681	571931
220	10728	571839
221	10776	571732
222	10823	571630
223	10867	571340
224	10919	571442
225	10961	571045
226	11008	570919
227	11054	570770
228	11101	570661
229	11143	570280
230	11192	570215
231	11240	570151
232	11288	570113
233	11336	570016
234	11384	569932
235	11431	569822
236	11484	569987
237	11534	570055
238	11582	569978
239	11630	569907
240	11686	570205
241	11731	569993
242	11777	569806
243	11826	569784
244	11875	569764
245	11922	569679
246	11971	569627
247	12020	569634
248	12074	569810
249	12117	569542
250	12165	569439
251	12211	569296
252	12255	569044
253	12305	569054
254	12349	568816
255	12399	568842
256	12442	568519
257	12486	568270
258	12533	568177
259	12583	568189
260	12631	568143
261	12679	568046
262	12721	567707
263	12765	567483
264	12816	567539
265	12864	567491
266	12910	567348
267	12957	567217
268	13006	567205
269	13053	567097
270	13104	567184
271	13151	567042
272	13199	566978
273	13246	566888
274	13290	566666
275	13338	566609
276	13392	566802
277	13444	566876
278	13494	566901
279	13543	566878
280	13590	566768
281	13635	566605
282	13684	566565
283	13736	566674
284	13786	566682
285	13830	566464
286	13875	566300
287	13920	566101
288	13970	566112
289	14021	566164
290	14071	566199
291	14116	566015
292	14162	565869
293	14211	565849
294	14257	565692
295	14304	565590
296	14352	565549
297	14394	565260
298	14440	565125
299	14482	564828
300	14525	564579
301	14569	564368
302	14616	564269
303	14660	564038
304	14704	563843
305	14747	563583
306	14791	563392
307	14838	563298
308	14881	563058
309	14936	563253
310	14981	563098
311	15031	563099
312	15079	563058
313	15128	563028
314	15174	562891
315	15219	562735
