,nonSupportChamp,winRate,95% CI,numWins,numGames,baseWinRate,base 95% CI,baseNumWins,baseNumGames
63,Miss Fortune,0.5020415003504067,"[0.499333, 0.504750]",65906,131276,0.532142533321244,"[0.530000, 0.534276]",111511,209551
57,Lissandra,0.5020415003504067,"[0.499333, 0.504750]",65906,131276,0.532142533321244,"[0.530000, 0.534276]",111511,209551
69,Nocturne,0.5020415003504067,"[0.499333, 0.504750]",65906,131276,0.532142533321244,"[0.530000, 0.534276]",111511,209551
11,Caitlyn,0.49863733550155087,"[0.495946, 0.501329]",66233,132828,0.5226733653325365,"[0.520556, 0.524789]",111942,214172
23,Ezreal,0.49863733550155087,"[0.495946, 0.501329]",66233,132828,0.5226733653325365,"[0.520556, 0.524789]",111942,214172
17,Diana,0.49863733550155087,"[0.495946, 0.501329]",66233,132828,0.5226733653325365,"[0.520556, 0.524789]",111942,214172
5,Annie,0.49863733550155087,"[0.495946, 0.501329]",66233,132828,0.5226733653325365,"[0.520556, 0.524789]",111942,214172
35,Illaoi,0.49863733550155087,"[0.495946, 0.501329]",66233,132828,0.5226733653325365,"[0.520556, 0.524789]",111942,214172
29,Garen,0.49863733550155087,"[0.495946, 0.501329]",66233,132828,0.5226733653325365,"[0.520556, 0.524789]",111942,214172
26,Fizz,0.4972430996762761,"[0.494458, 0.500028]",61594,123871,0.5171754564922212,"[0.514629, 0.519722]",76558,148031
14,Cho'Gath,0.4972430996762761,"[0.494458, 0.500028]",61594,123871,0.5171754564922212,"[0.514629, 0.519722]",76558,148031
32,Graves,0.4972430996762761,"[0.494458, 0.500028]",61594,123871,0.5171754564922212,"[0.514629, 0.519722]",76558,148031
20,Ekko,0.4972430996762761,"[0.494458, 0.500028]",61594,123871,0.5171754564922212,"[0.514629, 0.519722]",76558,148031
8,Aurelion Sol,0.4972430996762761,"[0.494458, 0.500028]",61594,123871,0.5171754564922212,"[0.514629, 0.519722]",76558,148031
2,Akali,0.4972430996762761,"[0.494458, 0.500028]",61594,123871,0.5171754564922212,"[0.514629, 0.519722]",76558,148031
41,Jinx,0.49687655756770227,"[0.494052, 0.499705]",59814,120380,0.4906976903900171,"[0.488129, 0.493266]",71450,145609
53,Kog'Maw,0.49687655756770227,"[0.494052, 0.499705]",59814,120380,0.4906976903900171,"[0.488129, 0.493266]",71450,145609
47,Kayle,0.49687655756770227,"[0.494052, 0.499705]",59814,120380,0.4906976903900171,"[0.488129, 0.493266]",71450,145609
34,Heimerdinger,0.4949485484530462,"[0.492086, 0.497811]",58103,117392,0.5406244805473173,"[0.537733, 0.543516]",61795,114303
28,Gangplank,0.4949485484530462,"[0.492086, 0.497811]",58103,117392,0.5406244805473173,"[0.537733, 0.543516]",61795,114303
22,Evelynn,0.4949485484530462,"[0.492086, 0.497811]",58103,117392,0.5406244805473173,"[0.537733, 0.543516]",61795,114303
4,Anivia,0.4949485484530462,"[0.492086, 0.497811]",58103,117392,0.5406244805473173,"[0.537733, 0.543516]",61795,114303
16,Darius,0.4949485484530462,"[0.492086, 0.497811]",58103,117392,0.5406244805473173,"[0.537733, 0.543516]",61795,114303
10,Brand,0.4949485484530462,"[0.492086, 0.497811]",58103,117392,0.5406244805473173,"[0.537733, 0.543516]",61795,114303
48,Kayn,0.4936751633194129,"[0.490790, 0.496560]",56979,115418,0.5277771661345371,"[0.524529, 0.531025]",47938,90830
42,Kai'Sa,0.4936751633194129,"[0.490790, 0.496560]",56979,115418,0.5277771661345371,"[0.524529, 0.531025]",47938,90830
54,LeBlanc,0.4936751633194129,"[0.490790, 0.496560]",56979,115418,0.5277771661345371,"[0.524529, 0.531025]",47938,90830
60,Malzahar,0.4936751633194129,"[0.490790, 0.496560]",56979,115418,0.5277771661345371,"[0.524529, 0.531025]",47938,90830
66,Nasus,0.4936751633194129,"[0.490790, 0.496560]",56979,115418,0.5277771661345371,"[0.524529, 0.531025]",47938,90830
36,Irelia,0.4936751633194129,"[0.490790, 0.496560]",56979,115418,0.5277771661345371,"[0.524529, 0.531025]",47938,90830
98,Talon,0.49268768025398624,"[0.489937, 0.495438]",62695,127251,0.49319419513827617,"[0.490775, 0.495613]",81054,164345
104,Twitch,0.49268768025398624,"[0.489937, 0.495438]",62695,127251,0.49319419513827617,"[0.490775, 0.495613]",81054,164345
92,Sivir,0.49268768025398624,"[0.489937, 0.495438]",62695,127251,0.49319419513827617,"[0.490775, 0.495613]",81054,164345
58,Lucian,0.49224203498690106,"[0.489390, 0.495094]",58247,118330,0.5121445049121338,"[0.509219, 0.515070]",57500,112273
64,Wukong,0.49224203498690106,"[0.489390, 0.495094]",58247,118330,0.5121445049121338,"[0.509219, 0.515070]",57500,112273
70,Nunu & Willump,0.49224203498690106,"[0.489390, 0.495094]",58247,118330,0.5121445049121338,"[0.509219, 0.515070]",57500,112273
100,Tristana,0.49206097173705937,"[0.489150, 0.494972]",55782,113364,0.5195357311559484,"[0.515932, 0.523133]",38495,74095
82,Riven,0.49206097173705937,"[0.489150, 0.494972]",55782,113364,0.5195357311559484,"[0.515932, 0.523133]",38495,74095
94,Swain,0.49206097173705937,"[0.489150, 0.494972]",55782,113364,0.5195357311559484,"[0.515932, 0.523133]",38495,74095
88,Shen,0.49206097173705937,"[0.489150, 0.494972]",55782,113364,0.5195357311559484,"[0.515932, 0.523133]",38495,74095
76,Qiyana,0.49206097173705937,"[0.489150, 0.494972]",55782,113364,0.5195357311559484,"[0.515932, 0.523133]",38495,74095
106,Urgot,0.49206097173705937,"[0.489150, 0.494972]",55782,113364,0.5195357311559484,"[0.515932, 0.523133]",38495,74095
73,Ornn,0.49204685737630666,"[0.489125, 0.494969]",55403,112597,0.4660249581494445,"[0.461754, 0.470295]",24498,52568
85,Sejuani,0.49204685737630666,"[0.489125, 0.494969]",55403,112597,0.4660249581494445,"[0.461754, 0.470295]",24498,52568
79,Rek'Sai,0.49204685737630666,"[0.489125, 0.494969]",55403,112597,0.4660249581494445,"[0.461754, 0.470295]",24498,52568
0,Aatrox,0.4918287677530992,"[0.488995, 0.494663]",58836,119627,0.5261033631664629,"[0.523421, 0.528785]",70128,133297
30,Gnar,0.4918287677530992,"[0.488995, 0.494663]",58836,119627,0.5261033631664629,"[0.523421, 0.528785]",70128,133297
6,Aphelios,0.4918287677530992,"[0.488995, 0.494663]",58836,119627,0.5261033631664629,"[0.523421, 0.528785]",70128,133297
12,Camille,0.4918287677530992,"[0.488995, 0.494663]",58836,119627,0.5261033631664629,"[0.523421, 0.528785]",70128,133297
18,Draven,0.4918287677530992,"[0.488995, 0.494663]",58836,119627,0.5261033631664629,"[0.523421, 0.528785]",70128,133297
24,Fiddlesticks,0.4918287677530992,"[0.488995, 0.494663]",58836,119627,0.5261033631664629,"[0.523421, 0.528785]",70128,133297
125,Zoe,0.4912534514971644,"[0.488434, 0.494073]",59423,120962,0.48243908557809906,"[0.479695, 0.485183]",61538,127556
113,Vladimir,0.4912534514971644,"[0.488434, 0.494073]",59423,120962,0.48243908557809906,"[0.479695, 0.485183]",61538,127556
119,Yasuo,0.4912534514971644,"[0.488434, 0.494073]",59423,120962,0.48243908557809906,"[0.479695, 0.485183]",61538,127556
83,Rumble,0.49035661801619246,"[0.487395, 0.493319]",53722,109557,0.5328269934473662,"[0.528306, 0.537337]",25045,47004
89,Shyvana,0.49035661801619246,"[0.487395, 0.493319]",53722,109557,0.5328269934473662,"[0.528306, 0.537337]",25045,47004
107,Varus,0.49035661801619246,"[0.487395, 0.493319]",53722,109557,0.5328269934473662,"[0.528306, 0.537337]",25045,47004
77,Quinn,0.49035661801619246,"[0.487395, 0.493319]",53722,109557,0.5328269934473662,"[0.528306, 0.537337]",25045,47004
101,Trundle,0.49035661801619246,"[0.487395, 0.493319]",53722,109557,0.5328269934473662,"[0.528306, 0.537337]",25045,47004
95,Sylas,0.49035661801619246,"[0.487395, 0.493319]",53722,109557,0.5328269934473662,"[0.528306, 0.537337]",25045,47004
115,Warwick,0.4894878605364558,"[0.486490, 0.492485]",52338,106924,0.5242741646421601,"[0.518042, 0.530409]",13164,25109
109,Veigar,0.4894878605364558,"[0.486490, 0.492485]",52338,106924,0.5242741646421601,"[0.518042, 0.530409]",13164,25109
121,Yorick,0.4894878605364558,"[0.486490, 0.492485]",52338,106924,0.5242741646421601,"[0.518042, 0.530409]",13164,25109
59,Malphite,0.48940138915022946,"[0.486599, 0.492207]",59821,122233,0.4906976903900171,"[0.488129, 0.493266]",71450,145609
65,Mordekaiser,0.48940138915022946,"[0.486599, 0.492207]",59821,122233,0.4906976903900171,"[0.488129, 0.493266]",71450,145609
71,Olaf,0.48940138915022946,"[0.486599, 0.492207]",59821,122233,0.4906976903900171,"[0.488129, 0.493266]",71450,145609
84,Ryze,0.48926722783575055,"[0.486448, 0.492087]",59171,120938,0.4696606511457042,"[0.466694, 0.472627]",51139,108885
72,Orianna,0.48926722783575055,"[0.486448, 0.492087]",59171,120938,0.4696606511457042,"[0.466694, 0.472627]",51139,108885
78,Rammus,0.48926722783575055,"[0.486448, 0.492087]",59171,120938,0.4696606511457042,"[0.466694, 0.472627]",51139,108885
27,Galio,0.48813472824700177,"[0.485177, 0.491096]",53564,109732,0.48728178498300717,"[0.482775, 0.491789]",23084,47373
21,Elise,0.48813472824700177,"[0.485177, 0.491096]",53564,109732,0.48728178498300717,"[0.482775, 0.491789]",23084,47373
33,Hecarim,0.48813472824700177,"[0.485177, 0.491096]",53564,109732,0.48728178498300717,"[0.482775, 0.491789]",23084,47373
15,Corki,0.48813472824700177,"[0.485177, 0.491096]",53564,109732,0.48728178498300717,"[0.482775, 0.491789]",23084,47373
3,Amumu,0.48813472824700177,"[0.485177, 0.491096]",53564,109732,0.48728178498300717,"[0.482775, 0.491789]",23084,47373
9,Azir,0.48813472824700177,"[0.485177, 0.491096]",53564,109732,0.48728178498300717,"[0.482775, 0.491789]",23084,47373
93,Skarner,0.48805927137850574,"[0.485071, 0.491048]",52502,107573,0.4863640971917137,"[0.480670, 0.492075]",14392,29591
99,Teemo,0.48805927137850574,"[0.485071, 0.491048]",52502,107573,0.4863640971917137,"[0.480670, 0.492075]",14392,29591
105,Udyr,0.48805927137850574,"[0.485071, 0.491048]",52502,107573,0.4863640971917137,"[0.480670, 0.492075]",14392,29591
81,Rengar,0.488051030457449,"[0.485106, 0.490996]",54017,110679,0.4863640971917137,"[0.480670, 0.492075]",14392,29591
87,Shaco,0.488051030457449,"[0.485106, 0.490996]",54017,110679,0.4863640971917137,"[0.480670, 0.492075]",14392,29591
75,Poppy,0.488051030457449,"[0.485106, 0.490996]",54017,110679,0.4863640971917137,"[0.480670, 0.492075]",14392,29591
97,Taliyah,0.48767175537856566,"[0.484716, 0.490628]",53699,110113,0.4660249581494445,"[0.461754, 0.470295]",24498,52568
103,Twisted Fate,0.48767175537856566,"[0.484716, 0.490628]",53699,110113,0.4660249581494445,"[0.461754, 0.470295]",24498,52568
91,Sion,0.48767175537856566,"[0.484716, 0.490628]",53699,110113,0.4660249581494445,"[0.461754, 0.470295]",24498,52568
124,Ziggs,0.48763900965630863,"[0.484673, 0.490605]",53277,109255,0.47756128817903504,"[0.472791, 0.482343]",20123,42137
118,Xin Zhao,0.48763900965630863,"[0.484673, 0.490605]",53277,109255,0.47756128817903504,"[0.472791, 0.482343]",20123,42137
112,Viktor,0.48763900965630863,"[0.484673, 0.490605]",53277,109255,0.47756128817903504,"[0.472791, 0.482343]",20123,42137
39,Jayce,0.4874036621548077,"[0.484498, 0.490309]",55526,113922,0.532142533321244,"[0.530000, 0.534276]",111511,209551
51,Kindred,0.4874036621548077,"[0.484498, 0.490309]",55526,113922,0.532142533321244,"[0.530000, 0.534276]",111511,209551
45,Kassadin,0.4874036621548077,"[0.484498, 0.490309]",55526,113922,0.532142533321244,"[0.530000, 0.534276]",111511,209551
1,Ahri,0.48676410737352466,"[0.483849, 0.489679]",55017,113026,0.45849103116254114,"[0.454771, 0.462218]",31618,68961
31,Gragas,0.48676410737352466,"[0.483849, 0.489679]",55017,113026,0.45849103116254114,"[0.454771, 0.462218]",31618,68961
7,Ashe,0.48676410737352466,"[0.483849, 0.489679]",55017,113026,0.45849103116254114,"[0.454771, 0.462218]",31618,68961
19,Dr. Mundo,0.48676410737352466,"[0.483849, 0.489679]",55017,113026,0.45849103116254114,"[0.454771, 0.462218]",31618,68961
13,Cassiopeia,0.48676410737352466,"[0.483849, 0.489679]",55017,113026,0.45849103116254114,"[0.454771, 0.462218]",31618,68961
25,Fiora,0.48676410737352466,"[0.483849, 0.489679]",55017,113026,0.45849103116254114,"[0.454771, 0.462218]",31618,68961
122,Zac,0.48675178912540784,"[0.483790, 0.489718]",53256,109411,0.4812276055460352,"[0.476904, 0.485551]",24712,51352
116,Xayah,0.48675178912540784,"[0.483790, 0.489718]",53256,109411,0.4812276055460352,"[0.476904, 0.485551]",24712,51352
110,Vel'Koz,0.48675178912540784,"[0.483790, 0.489718]",53256,109411,0.4812276055460352,"[0.476904, 0.485551]",24712,51352
96,Syndra,0.4865685906406799,"[0.483706, 0.489431]",57020,117188,0.4696606511457042,"[0.466694, 0.472627]",51139,108885
90,Singed,0.4865685906406799,"[0.483706, 0.489431]",57020,117188,0.4696606511457042,"[0.466694, 0.472627]",51139,108885
102,Tryndamere,0.4865685906406799,"[0.483706, 0.489431]",57020,117188,0.4696606511457042,"[0.466694, 0.472627]",51139,108885
123,Zed,0.4861918545395246,"[0.483391, 0.488993]",59629,122645,0.46478429063997984,"[0.462195, 0.467374]",66321,142692
117,Xerath,0.4861918545395246,"[0.483391, 0.488993]",59629,122645,0.46478429063997984,"[0.462195, 0.467374]",66321,142692
111,Vi,0.4861918545395246,"[0.483391, 0.488993]",59629,122645,0.46478429063997984,"[0.462195, 0.467374]",66321,142692
38,Jax,0.48591479687654443,"[0.482976, 0.488853]",54076,111287,0.48144668584532974,"[0.479080, 0.483813]",82506,171371
56,Lillia,0.4850910257438447,"[0.482316, 0.487866]",60486,124690,0.48144668584532974,"[0.479080, 0.483813]",82506,171371
44,Karthus,0.4850910257438447,"[0.482316, 0.487866]",60486,124690,0.48144668584532974,"[0.479080, 0.483813]",82506,171371
68,Nidalee,0.4850910257438447,"[0.482316, 0.487866]",60486,124690,0.48144668584532974,"[0.479080, 0.483813]",82506,171371
50,Kha'Zix,0.4850910257438447,"[0.482316, 0.487866]",60486,124690,0.48144668584532974,"[0.479080, 0.483813]",82506,171371
62,Master Yi,0.4850910257438447,"[0.482316, 0.487866]",60486,124690,0.48144668584532974,"[0.479080, 0.483813]",82506,171371
61,Maokai,0.4843638019274386,"[0.481518, 0.487209]",57447,118603,0.4545971172226145,"[0.451734, 0.457464]",52796,116138
49,Kennen,0.4843638019274386,"[0.481518, 0.487209]",57447,118603,0.4545971172226145,"[0.451734, 0.457464]",52796,116138
55,Lee Sin,0.4843638019274386,"[0.481518, 0.487209]",57447,118603,0.4545971172226145,"[0.451734, 0.457464]",52796,116138
43,Kalista,0.4843638019274386,"[0.481518, 0.487209]",57447,118603,0.4545971172226145,"[0.451734, 0.457464]",52796,116138
67,Neeko,0.4843638019274386,"[0.481518, 0.487209]",57447,118603,0.4545971172226145,"[0.451734, 0.457464]",52796,116138
37,Jarvan IV,0.4843638019274386,"[0.481518, 0.487209]",57447,118603,0.4545971172226145,"[0.451734, 0.457464]",52796,116138
108,Vayne,0.48365960561670374,"[0.480732, 0.486588]",54181,112023,0.4073456819516531,"[0.403512, 0.411194]",25664,63003
120,Yone,0.48365960561670374,"[0.480732, 0.486588]",54181,112023,0.4073456819516531,"[0.403512, 0.411194]",25664,63003
114,Volibear,0.48365960561670374,"[0.480732, 0.486588]",54181,112023,0.4073456819516531,"[0.403512, 0.411194]",25664,63003
46,Katarina,0.48356209177727283,"[0.480724, 0.486400]",57673,119267,0.5121445049121338,"[0.509219, 0.515070]",57500,112273
40,Jhin,0.48356209177727283,"[0.480724, 0.486400]",57673,119267,0.5121445049121338,"[0.509219, 0.515070]",57500,112273
52,Kled,0.48356209177727283,"[0.480724, 0.486400]",57673,119267,0.5121445049121338,"[0.509219, 0.515070]",57500,112273
80,Renekton,0.4828813109930807,"[0.480016, 0.485747]",56458,116919,0.49319419513827617,"[0.490775, 0.495613]",81054,164345
74,Pantheon,0.4828813109930807,"[0.480016, 0.485747]",56458,116919,0.49319419513827617,"[0.490775, 0.495613]",81054,164345
86,Sett,0.4828813109930807,"[0.480016, 0.485747]",56458,116919,0.49319419513827617,"[0.490775, 0.495613]",81054,164345
