,nonSupportChamp,supportChamp1,supportChamp2,winRate,95% CI,numWins,numGames
21822,Rek'Sai,Alistar,Taric,1.0,"[0.050000, 1.000000]",1,1
33933,Zac,Tahm Kench,Taric,1.0,"[0.050000, 1.000000]",1,1
32210,Xayah,Morgana,Thresh,1.0,"[0.223607, 1.000000]",2,2
20793,Poppy,Ivern,Nautilus,1.0,"[0.622858, 1.000000]",7,7
32803,Xin Zhao,Rakan,Taric,1.0,"[0.368403, 1.000000]",3,3
14418,Kled,Braum,Ivern,1.0,"[0.368403, 1.000000]",3,3
33494,Yorick,Ivern,Soraka,1.0,"[0.588641, 1.000000]",6,6
2443,Aurelion Sol,Rakan,Taric,1.0,"[0.050000, 1.000000]",1,1
8574,Gragas,Alistar,Taric,1.0,"[0.500000, 1.000000]",5,5
3546,Camille,Rakan,Tahm Kench,1.0,"[0.050000, 1.000000]",1,1
5505,Dr. Mundo,Tahm Kench,Taric,1.0,"[0.368403, 1.000000]",3,3
25756,Skarner,Ivern,Leona,1.0,"[0.472871, 1.000000]",4,4
23473,Sejuani,Alistar,Rakan,1.0,"[0.368403, 1.000000]",3,3
29259,Urgot,Alistar,Ivern,1.0,"[0.635380, 1.000000]",8,8
24549,Shen,Tahm Kench,Taric,1.0,"[0.223607, 1.000000]",2,2
31820,Warwick,Braum,Tahm Kench,1.0,"[0.223607, 1.000000]",2,2
22083,Renekton,Alistar,Ivern,1.0,"[0.368403, 1.000000]",3,3
25760,Skarner,Ivern,Nami,1.0,"[0.223607, 1.000000]",2,2
25765,Skarner,Ivern,Sona,1.0,"[0.368403, 1.000000]",3,3
25215,Sion,Ivern,Tahm Kench,1.0,"[0.368403, 1.000000]",3,3
33738,Zac,Braum,Ivern,1.0,"[0.223607, 1.000000]",2,2
29248,Udyr,Taric,Zilean,1.0,"[0.050000, 1.000000]",1,1
21843,Rek'Sai,Bard,Tahm Kench,1.0,"[0.050000, 1.000000]",1,1
33631,Yorick,Rakan,Taric,1.0,"[0.050000, 1.000000]",1,1
