,champion1,champion2,winRate,95% CI,numWins,numGames
10324,Sivir,Teemo,0.6275366403607666,"[0.616197, 0.638746]",4453,7096
8983,Nunu & Willump,Shaco,0.6275366403607666,"[0.616197, 0.638746]",4453,7096
11150,Yorick,Ziggs,0.6251378169790518,"[0.593082, 0.656616]",567,907
693,Amumu,Sivir,0.6249778250842647,"[0.612211, 0.637580]",3523,5637
10315,Sivir,Sona,0.6228991596638656,"[0.611199, 0.634535]",4151,6664
455,Alistar,Caitlyn,0.6201673072575176,"[0.605704, 0.634420]",2743,4423
2233,Caitlyn,Teemo,0.6191388638412985,"[0.608942, 0.629231]",5493,8872
7933,Lux,Zoe,0.6178225205070843,"[0.604685, 0.630786]",3314,5364
7478,Leona,Sivir,0.6178225205070843,"[0.604685, 0.630786]",3314,5364
487,Alistar,Jinx,0.6177873152122079,"[0.602892, 0.632460]",2591,4194
2263,Caitlyn,Zyra,0.6165531691985333,"[0.603812, 0.629132]",3531,5727
3218,Dr. Mundo,Lux,0.615070093457944,"[0.601641, 0.628317]",3159,5136
639,Amumu,Kayle,0.614860805127178,"[0.601047, 0.628087]",3070,4993
10430,Sona,Ziggs,0.6146090073941295,"[0.600163, 0.628845]",2743,4463
2182,Caitlyn,Lux,0.6142450619350519,"[0.605460, 0.622952]",7339,11948
10433,Sona,Zyra,0.6134239592183517,"[0.597148, 0.629436]",2166,3531
10820,Trundle,Ziggs,0.6121467227901383,"[0.587808, 0.634719]",1018,1663
1267,Ashe,Swain,0.6120407107124375,"[0.599367, 0.624553]",3548,5797
5993,Jinx,Teemo,0.6119622502757691,"[0.601303, 0.622507]",4993,8159
8130,Maokai,Sivir,0.6114388725008194,"[0.599071, 0.623654]",3731,6102
8168,Maokai,Ziggs,0.6106888943368473,"[0.595618, 0.625653]",2491,4079
7339,LeBlanc,Yorick,0.610524793985832,"[0.598963, 0.622023]",4223,6917
5945,Jinx,Maokai,0.610524793985832,"[0.598963, 0.622023]",4223,6917
6837,Kennen,Qiyana,0.610524793985832,"[0.598963, 0.622023]",4223,6917
5062,Heimerdinger,Yorick,0.6102502979737783,"[0.576311, 0.643080]",512,839
2185,Caitlyn,Maokai,0.6093500266382526,"[0.598232, 0.620343]",4575,7508
6394,Karthus,Trundle,0.6093310848791456,"[0.586299, 0.631837]",1084,1779
2156,Caitlyn,Janna,0.6089930335655478,"[0.598167, 0.619764]",4808,7895
2190,Caitlyn,Morgana,0.6089875570674067,"[0.599904, 0.618032]",6803,11171
731,Amumu,Ziggs,0.6089371370865942,"[0.593544, 0.624094]",2412,3961
2600,Cho'Gath,Qiyana,0.6089371370865942,"[0.593544, 0.624094]",2412,3961
548,Alistar,Sivir,0.6086221470836856,"[0.592428, 0.624694]",2160,3549
70,Aatrox,Maokai,0.6086221470836856,"[0.592428, 0.624694]",2160,3549
2426,Cassiopeia,Jinx,0.6086221470836856,"[0.592428, 0.624694]",2160,3549
1927,Brand,Nocturne,0.6086221470836856,"[0.592428, 0.624694]",2160,3549
600,Amumu,Caitlyn,0.607810320781032,"[0.596447, 0.619112]",4358,7170
5977,Jinx,Shaco,0.6077878103837472,"[0.594531, 0.620868]",3231,5316
3296,Dr. Mundo,Ziggs,0.6076996500159084,"[0.590368, 0.624733]",1910,3143
7180,Kog'Maw,Maokai,0.6075481006413419,"[0.592384, 0.622480]",2463,4054
9529,Rakan,Sejuani,0.6074438202247191,"[0.592703, 0.622082]",2595,4272
9184,Ornn,Swain,0.6066424494032174,"[0.584600, 0.628458]",1169,1927
593,Amumu,Ashe,0.6064834390415785,"[0.595000, 0.617834]",4303,7095
671,Amumu,Ornn,0.6064060803474485,"[0.583889, 0.628686]",1117,1842
2260,Caitlyn,Ziggs,0.606154278488127,"[0.594707, 0.617470]",4314,7117
586,Alistar,Ziggs,0.6055081458494957,"[0.586317, 0.624335]",1561,2578
8387,Wukong,Xayah,0.6051859099804305,"[0.583672, 0.626241]",1237,2044
494,Alistar,Kayle,0.6050035236081748,"[0.586866, 0.622987]",1717,2838
1020,Annie,Zoe,0.604875283446712,"[0.581647, 0.627572]",1067,1764
10481,Swain,Trundle,0.6046319272125724,"[0.576529, 0.631959]",731,1209
5984,Jinx,Sona,0.6045548654244306,"[0.593559, 0.615429]",4672,7728
653,Amumu,Lux,0.604370060437006,"[0.592364, 0.616308]",3900,6453
2224,Caitlyn,Sona,0.604040404040404,"[0.593527, 0.614502]",5083,8415
8718,Nautilus,Sivir,0.6040257902185878,"[0.591921, 0.616061]",3841,6359
4966,Heimerdinger,Jhin,0.6032154340836012,"[0.590760, 0.615198]",3752,6220
5884,Jhin,Swain,0.6030871003307607,"[0.589953, 0.616048]",3282,5442
10396,Sona,Swain,0.603035143769968,"[0.587201, 0.618619]",2265,3756
658,Amumu,Miss Fortune,0.6028625126499928,"[0.591228, 0.614361]",4170,6917
632,Amumu,Jinx,0.6027723952899091,"[0.591001, 0.614478]",4044,6709
5881,Jhin,Skarner,0.6027215399933621,"[0.584974, 0.620158]",1816,3013
10232,Singed,Sona,0.6025561097256857,"[0.585108, 0.619088]",1933,3208
8505,Morgana,Sivir,0.6023921305611446,"[0.592167, 0.612512]",5389,8946
5891,Jhin,Teemo,0.602224515537209,"[0.591908, 0.612491]",5252,8721
2145,Caitlyn,Galio,0.6021404431092753,"[0.588908, 0.615290]",3207,5326
7969,Malphite,Shen,0.602070613220069,"[0.586282, 0.617609]",2268,3767
8153,Maokai,Vel'Koz,0.6020425826553575,"[0.589324, 0.614634]",3478,5777
7231,Kog'Maw,Trundle,0.6016731016731016,"[0.576270, 0.625184]",935,1554
6346,Karthus,Wukong,0.6015299026425591,"[0.588756, 0.614140]",3460,5752
5921,Jhin,Zyra,0.6015299026425591,"[0.588756, 0.614140]",3460,5752
704,Amumu,Teemo,0.601089588377724,"[0.587374, 0.614716]",2979,4956
645,Amumu,Kog'Maw,0.6010872378980068,"[0.585432, 0.616499]",2322,3863
8519,Morgana,Trundle,0.6008281573498965,"[0.580963, 0.620305]",1451,2415
8285,Miss Fortune,Sona,0.6004560425639727,"[0.589565, 0.611228]",4740,7894
2142,Caitlyn,Fiddlesticks,0.6004010695187165,"[0.589241, 0.611502]",4491,7480
5942,Jinx,Lux,0.6003496825250759,"[0.591104, 0.609555]",6524,10867
5028,Heimerdinger,Sivir,0.6001956947162427,"[0.586698, 0.613607]",3067,5110
1226,Ashe,Maokai,0.6001388888888889,"[0.588754, 0.611463]",4321,7200
2167,Caitlyn,Katarina,0.6001388888888889,"[0.588754, 0.611463]",4321,7200
837,Anivia,Sivir,0.5997863628271319,"[0.586884, 0.612611]",3369,5617
1258,Ashe,Shaco,0.5997863628271319,"[0.586884, 0.612611]",3369,5617
8678,Nasus,Xerath,0.5997286295793759,"[0.581928, 0.617379]",1768,2948
2200,Caitlyn,Ornn,0.5996828273674671,"[0.585076, 0.614076]",2647,4414
7927,Lux,Yorick,0.5993079584775086,"[0.573717, 0.624594]",866,1445
3258,Dr. Mundo,Sivir,0.59930151338766,"[0.584523, 0.613978]",2574,4295
5106,Illaoi,Morgana,0.59930151338766,"[0.584523, 0.613978]",2574,4295
4629,Gragas,Jayce,0.59930151338766,"[0.584523, 0.613978]",2574,4295
1386,Aurelion Sol,Quinn,0.5987851662404092,"[0.581370, 0.615899]",1873,3128
2245,Caitlyn,Vel'Koz,0.5980136436597111,"[0.588335, 0.607648]",5961,9968
4967,Heimerdinger,Jinx,0.5975879055546118,"[0.584937, 0.610078]",3518,5887
4991,Heimerdinger,Maokai,0.5975849480483011,"[0.581304, 0.613601]",2128,3561
5098,Illaoi,Lux,0.5974670970946113,"[0.582201, 0.612623]",2406,4027
3188,Dr. Mundo,Heimerdinger,0.597389213328753,"[0.579362, 0.615092]",1739,2911
4983,Heimerdinger,Leona,0.597001223990208,"[0.580025, 0.613842]",1951,3268
8171,Maokai,Zyra,0.5969341749323716,"[0.580109, 0.613626]",1986,3327
7893,Lux,Sivir,0.5968907379023429,"[0.586766, 0.606912]",5452,9134
6518,Kassadin,Zyra,0.5968907379023429,"[0.586766, 0.606912]",5452,9134
7863,Lux,Nasus,0.5967709384460141,"[0.582952, 0.610400]",2957,4955
5843,Jhin,Maokai,0.5965886015974008,"[0.585356, 0.607761]",4407,7387
636,Amumu,Karthus,0.5965599825821903,"[0.582196, 0.610719]",2740,4593
513,Alistar,Miss Fortune,0.5961272475795297,"[0.581379, 0.610657]",2586,4338
7904,Lux,Teemo,0.595974872033504,"[0.585508, 0.606332]",5123,8596
4117,Fizz,Sylas,0.5958229344542231,"[0.584727, 0.606861]",4536,7613
10336,Sivir,Vel'Koz,0.5956983740878249,"[0.584755, 0.606584]",4653,7811
2172,Caitlyn,Kindred,0.5953662318708383,"[0.586110, 0.604536]",6527,10963
1231,Ashe,Morgana,0.5953662318708383,"[0.586110, 0.604536]",6527,10963
